building_name,utility,charge_name,charge_rate,charge_rate_unit
Plains Junction 1 CTS 23700,Electricity,Service Fee,1.0925,$/account/day
Portal Lot 2,Electricity,Electricity,0.3315,$/kWh
Portal Lot 2,Electricity,Service Fee,1.081,$/account/day
Portofino 1,Water,Cold Water,4.98,$/kL
Portofino 1,Water,Service Fee,0.396,$/account/day
Q On Quarrion,Electricity,Electricity,0.3204,$/kWh
Q On Quarrion,Electricity,Service Fee,0.49,$/account/day
Ranaf Pty Ltd,Electricity,Electricity,0.3344,$/kWh
Ranaf Pty Ltd,Electricity,Service Fee,1.5332,$/account/day
Red Hill Centre CTS 8030,Electricity,Electricity,0.24,$/kWh
Red Hill Centre CTS 8030,Electricity,Service Fee,0.5865,$/account/day
Regencey Terraces CTS 26704,Water,Cold Water Tier One,4.498,$/kL
Regencey Terraces CTS 26704,Water,Cold Water Tier Two,5.555,$/kL
Regencey Terraces CTS 26704,Water,Service Fee,0.297,$/account/day
Riverlily,Water,Cold Water Tier One,4.498,$/kL
Riverlily,Water,Cold Water Tier Two,5.555,$/kL
Riverview Terraces CTS 23176,Water,Cold Water,4.98,$/kL
Riverview Terraces CTS 23176,Water,Service Fee,0.36,$/account/day
Sams Edge CTS 46159,Electricity,Electricity,0.297,$/kWh
Sams Edge CTS 46159,Electricity,Service Fee,0.396,$/account/day
Seashells On Urangan,Electricity,Electricity,,$/kWh
Seashells On Urangan,Electricity,Service Fee,,$/day
Seven Oaks CTS 47005,Water,Cold Water Tier One,4.498,$/kL
Seven Oaks CTS 47005,Water,Cold Water Tier Two,5.555,$/kL
Seven Oaks CTS 47005,Water,Hot Water Heating,0.031947,$/L
Seven Oaks CTS 47005,Water,Unmetered Appliance,0.481016,$/account/day
Seven Oaks CTS 47005,Water,Service Fee,0.616,$/account/day
Shea Residences,Water,Hot Water Heating,0.0125,$/L
Shea Residences,Water,Gas Supply Charge,0.3,$/account/day
Shea Residences,Electricity,Electricity,0.3204,$/kWh
Shea Residences,Electricity,Service Fee,1.2988,$/service point/day
Signature Point CTS 41630,Water,Hot Water,0.03778,$/L
Signature Point CTS 41630,Water,Service Fee,0.5175,$/account/day
Silverferns,Water,Cold Water,4.98,$/kL
Silverferns,Water,Service Fee,0.7475,$/account/day
Summer Chambers,Water,Cold Water,4.98,$/kL
Summer Chambers,Water,Service Fee,0.27,$/account/day
Surfers Views South CTS 24128,Water,Cold Water,4.98,$/kL
The Groves Loganholme,Electricity,Air Conditioning,0.91,$/hours
The Groves Loganholme,Electricity,Service Fee,0.414,$/account/day
The Moroccan,Electricity,Electricity,0.226,$/kWh
The Moroccan,Electricity,Service Fee,0.95,$/account/day
The Summit Airlie Beach,Water,Cold Water,2.38,$/kL
The Summit Airlie Beach,Water,Service Fee,0.65,$/account/day
The Summit House Lots,Water,Cold Water,2.38,$/kL
The Summit House Lots,Water,Service Fee,0.414,$/account/day
The Dalgety,Water,Hot Water,0.02343,$/L
The Dalgety,Water,Service Fee,0.36,$/account/day
The Presidents Lodge,Electricity,Electricity,0.235,$/kWh
The Presidents Lodge,Electricity,Service Fee,0.414,$/account/day
The Village At West End,Water,Service Fee,0.36,$/account/day
The Village At West End,Water,Hot Water Heating,0.02882,$/L
Frenchville Shopping Centre,Electricity,Electricity,0.265,$/kWh
Frenchville Shopping Centre,Electricity,Service Fee,0.76858,$/account/day
Frenchville Shopping Centre,Electricity,Electricity,0.265,$/kWh
Frenchville Shopping Centre,Electricity,Service Fee,1.82788,$/account/day
Toohey Mountain Estate,Electricity,Electricity,0.35244,$/kWh
Toohey Mountain Estate,Electricity,Service Fee,0.396,$/account/day
Toohey Mountain Estate,Electricity,Electricity Rebate/Concession,-1.05853,$/day
Toohey Mountain Estate,Electricity,Electricity,0.35244,$/kWh
Toohey Mountain Estate,Electricity,Service Fee,0.396,$/account/day
Toohey Mountain Estate,Electricity,Electricity Rebate/Concession,-1.05853,$/day
Toohey Mountain Estate,Electricity,Solar Credit,-0.05,$/kWh
Watermark Residences,Electricity,Electricity,0.155,$/kWh
Watermark Residences,Electricity,Electricity Rebate/Concession,-0.9623,$/day
Watermark Residences,Electricity,Service Fee,0.36,$/account/day
